@relation HAR

@attribute accX__fft1 numeric
@attribute accX__fft2 numeric
@attribute accX__fft3 numeric
@attribute accX__fft4 numeric
@attribute accX__fft5 numeric
@attribute accY__fft1 numeric
@attribute accY__fft2 numeric
@attribute accY__fft3 numeric
@attribute accY__fft4 numeric
@attribute accY__fft5 numeric
@attribute accZ__fft1 numeric
@attribute accZ__fft2 numeric
@attribute accZ__fft3 numeric
@attribute accZ__fft4 numeric
@attribute accZ__fft5 numeric
@attribute accM__fft1 numeric
@attribute accM__fft2 numeric
@attribute accM__fft3 numeric
@attribute accM__fft4 numeric
@attribute accM__fft5 numeric
@attribute class {walking,running,static,cycling}

@data
-8.83,822.16,1342.93,-518.06,744.62,5.26,-832.83,-1054.48,165.2,-630.37,7.25,-528.69,-731.83,162.36,-541.03,-3.4,109.97,395.24,-331.77,171.37,walking
9.66,-76.12,-834.38,25.67,22.81,4.95,-1.53,-401.08,-190.72,-3.7,3.82,5.85,-213.54,-94.41,-45.6,2.6,-50.2,-49.45,-15.93,18.66,walking
-0.16,-184.05,140.34,4.12,-34.04,-2.79,13.86,45.91,63.74,-8.5,0.31,51.18,-68.33,-30.68,-72.88,1.32,-52,15.66,-51.58,63.03,walking
-1.94,-13.51,-30.83,3.96,2.19,3.28,-18.41,-2.09,3.41,-21.52,-1.67,2.42,-4.91,-9.8,-1.84,-2.68,33.14,3.87,16.08,20.88,walking
0.99,-16.69,-17.27,-22.64,6.35,-3.2,-6.16,-8.13,-16.64,-3.08,-15.03,-2.97,12.54,-5.45,9.31,8.57,8.3,37.08,38.73,-18.19,walking
2.59,-26.44,6.63,34.44,36.64,-0.91,-16.52,2.55,-2.95,-3.41,5.18,-27.84,2.18,-50.59,9,0.42,-12.51,0.45,-9.5,-12.61,walking
-6.87,-22.3,-23.29,-21.85,-22.04,5.44,59.96,-2.9,52,-18,10.04,53.98,17.16,57.21,31.35,-9.48,-83.51,-5.95,-72.7,9.02,walking
0.25,14.33,-0.74,4,0.03,5.16,-56.49,-7.71,-73.2,-18.1,5.38,20.36,-11.78,30.52,-5.81,-8.34,53.65,14.65,58.98,43.45,walking
0.92,6.76,-0.72,-11.42,-13.38,2.34,-41.19,10.32,-54.48,32.84,4.83,-35.75,0.76,-9.08,-11.13,-4.86,27.62,-13.7,51.16,-6.98,walking
3.23,-3.52,-27.25,1.57,6.16,0.91,4.85,4.89,5.35,2.78,-5.46,-15.36,-0.4,-26.43,-14.15,-1.49,-11.65,19.64,-2.06,17.25,walking
-0.88,2.6,-0.52,7.17,-7.4,0.42,0.75,3.04,-11.24,5.12,4.42,11.38,30.46,9.21,-2.83,1.02,12.45,5.89,-14.72,-34.06,walking
5.05,-3.6,3.35,-11.77,3.14,-0.93,9.81,-6.19,-1.59,-1.47,-6.64,-6.91,9.31,-7.62,-0.61,3.31,-17.65,2.65,15.28,9.52,walking
-0.15,46.61,0.51,55.15,2.28,-0.43,4.15,13.84,30.56,33.36,0.54,-10.33,-5.11,-17.22,-14.13,1.58,17.77,-17.98,-39.89,-36.67,walking
-1.93,-44.51,-11.17,-30.63,-15.71,-9.7,47.64,-7.2,73.66,7.37,4.74,15.18,8.35,-3.81,-4.44,11.8,-8.48,33.68,-49.61,19.87,walking
7.33,-9.51,9.67,0.77,32.19,2.78,11.46,5.51,8.13,4.09,1.33,-3.09,-6.65,11.62,-9.17,-6.84,-17.24,-9.71,-5.67,-22.53,walking
6.65,20.87,-3.04,0.6,-11.57,-2.01,-7.55,8.18,-10.22,9.81,-4.24,-4.99,-3.54,12.8,-24.37,4.24,-7.93,-6.24,14.28,0.22,walking
1.24,5.05,27.27,-18.93,8.35,-3.59,-5.95,4.18,18.55,-4.77,-1.71,-20.14,-21.28,-35.56,-4.98,8.51,35.97,-35.97,-18.11,-9.8,walking
-0.83,-6.71,-4.66,1.39,21.73,-4.96,-15.11,6.29,-5.14,-14.61,-1.2,-20.52,-15.13,-18.34,-10.34,6,15.23,-21.56,6.75,-6.68,walking
-4.14,-29.19,8.14,-21.59,-13.22,2.05,1.23,-0.17,-0.23,-12.07,-1.25,-11.15,-3.06,-7.63,4.19,-0.4,6.36,-7.22,25.61,-7.14,walking
3.87,34.06,0.77,27.96,15.62,1.06,-20.85,-3.94,-24.41,-8.69,-0.81,-21.82,4.79,-40.33,3.64,-3.85,-7.96,-14.64,-6.41,-2.24,walking
-2.28,-2.85,-13.01,-6.71,-9.47,0.42,53.69,-1.3,35.13,-8.23,-1.8,28.81,19.28,46.82,6.56,8.65,-78.85,37.42,-84.32,-18,walking
2.43,-11.59,-7.98,-7.43,-7.51,-5.66,-2.78,-2.21,-9.04,-3.61,-11.36,42.9,5.19,50.42,-8.54,8.52,-16.91,-3.59,-14.8,14.67,walking
0.58,12,-0.89,-9.4,7.51,1.45,-48.78,-8.38,-67.44,16.79,3.04,-16.6,-4.37,0.78,-24.43,-1.73,35.23,14.1,49.38,-9.44,walking
-1.24,-20.9,-55.17,-19.74,20.01,-1.08,-26.64,-3.03,-42.91,16.15,-3.77,-20.71,-13.77,-8.05,-3.63,1.63,20.86,5.76,49.05,-8.16,walking
0,-9.47,-18.98,-11.88,11.47,-5.95,-24.58,-6.35,-10.7,24.51,-1.52,10.6,13.73,-2.3,-25.6,9.67,56.1,29.11,22.75,-14.77,walking
-2.89,25.8,-1.09,36.28,-8.78,-1.02,19.13,11.07,31.27,24.29,-4.8,9.76,1.94,-23.09,-18.63,5.98,-1.03,-15.98,-40.11,-15.47,walking
-0.09,22.83,-20.46,19.92,-12.36,-0.28,21.69,2.04,46.43,15.74,-1.91,4.4,5.78,4.58,6.55,-1.43,-39.48,11.26,-54.08,9.02,walking
2.68,-14.16,1.02,-33.45,0.67,0.52,38.84,5.58,40.84,1.01,-0.53,3.6,0.14,-1.6,-11.73,-2.47,-47.08,-6.53,-20.93,5.77,walking
9.26,-27.29,-15.59,-34.68,15.58,-1.51,-4.31,-15.86,27.27,-23.06,4.88,-7.13,-7.07,-24.54,-8.25,-4.55,26.77,12.4,14.93,10.05,walking
-3.46,-9.02,15.09,1.63,-4.7,-7.85,-23.24,-1.43,-26.42,-7.34,-3.43,-12.99,-9.2,-22.96,23.39,6.9,23.12,17.51,45.53,-24.33,walking
0.69,7.45,-13.15,2.83,5.32,5.2,-3.28,-22.72,13.63,-6.8,-3.06,-23,8.24,-9.28,7.22,0.07,15.64,49.68,0.17,7.84,walking
-0.97,41,-23.44,37.51,8.56,-14.48,-3.51,0.69,-1.62,5.88,4.35,-15.99,20.8,-17.09,8.96,17.56,-19.43,28.3,-23.06,-27.17,walking
2.93,-48.9,-5.26,-40.71,4.88,-3.37,33.86,-6.3,26.92,-13.29,7.53,73.18,-3.76,80.8,-2.14,3.15,-53.93,22.5,-71.14,16.18,walking
-1.9,20.37,2.42,15.23,17.03,0.27,-105.35,9.11,-113.6,10.64,0.22,-8.01,-34.19,-3.48,-5.6,0.78,106.48,-27.65,115.06,3.6,walking
-2.5,30.21,43.48,-3.76,15.62,8.2,55.22,-1.56,19.31,64.13,8.6,-26.95,-11.27,5.07,-4.25,-10.09,-61.95,3.2,-12.89,-51.48,walking
2.18,-3.82,8.23,11.14,-11.34,0.2,42.68,11.98,62.08,24.44,1.52,7.82,-10.46,8.2,-20.97,-2.83,-35.38,-42.87,-71.36,-46.82,walking
-0.78,-32.95,-8.96,-22.74,-2.32,1.46,2.65,-3.01,10.95,-21.96,-14.45,-8.53,-4.23,-14.47,0.2,1.21,11.94,16.59,25.14,19.54,walking
-5.02,3.23,6.08,5.67,-4.05,2.64,-20.62,13.66,-23.85,-13.48,6.81,-28.66,-2.55,-57.28,29.88,-2.49,25.34,-44.28,29.04,-5.86,walking
-1.48,34.78,0.85,29.39,-1.34,-2.92,4.78,-5.26,11.19,7.9,0.87,-22.78,-1.18,-31.89,9.87,2.98,-39.15,-3.88,-37.45,-20.95,walking
